"simulation","method","lambda","rank","effective_rank","rmse","converged"
3,"PCA (oracle)",NA,24,24,0.571157274992448,NA
3,"PCA (oracle)",NA,25,25,0.582125495707774,NA
3,"PCA (oracle)",NA,26,26,0.592816680425834,NA
3,"PCA (oracle)",NA,27,27,0.603264596037682,NA
3,"PCA (oracle)",NA,28,28,0.613442824023298,NA
3,"PCA (oracle)",NA,29,29,0.623408367370216,NA
3,"PCA (oracle)",NA,30,30,0.633128226377814,NA
3,"ICA (oracle)",NA,0,0,0.732933969667366,NA
3,"ICA (oracle)",NA,1,1,0.468589795041747,TRUE
3,"ICA (oracle)",NA,2,2,0.327291875996829,TRUE
3,"ICA (oracle)",NA,3,3,0.175786365162496,TRUE
3,"ICA (oracle)",NA,4,4,0.215972236026674,TRUE
3,"ICA (oracle)",NA,5,5,0.249352066194744,FALSE
3,"ICA (oracle)",NA,6,6,0.278453305243873,TRUE
3,"ICA (oracle)",NA,7,7,0.304365798183579,FALSE
3,"ICA (oracle)",NA,8,8,0.327867621879625,FALSE
3,"ICA (oracle)",NA,9,9,0.349438372586511,FALSE
3,"ICA (oracle)",NA,10,10,0.369555519852537,FALSE
3,"ICA (oracle)",NA,11,11,0.388622651900494,FALSE
3,"ICA (oracle)",NA,12,12,0.406612403264118,FALSE
3,"ICA (oracle)",NA,13,13,0.423484078210777,FALSE
3,"ICA (oracle)",NA,14,14,0.43973462088228,FALSE
3,"ICA (oracle)",NA,15,15,0.45501626488803,FALSE
3,"ICA (oracle)",NA,16,16,0.469657472354155,FALSE
3,"ICA (oracle)",NA,17,17,0.483788077746276,FALSE
3,"ICA (oracle)",NA,18,18,0.497500800645338,FALSE
3,"ICA (oracle)",NA,19,19,0.510698970325909,FALSE
3,"ICA (oracle)",NA,20,20,0.523531329006553,FALSE
3,"ICA (oracle)",NA,21,21,0.535977563046476,FALSE
3,"ICA (oracle)",NA,22,22,0.548061754033617,FALSE
3,"ICA (oracle)",NA,23,23,0.559764648283576,FALSE
3,"ICA (oracle)",NA,24,24,0.571157274992448,FALSE
3,"ICA (oracle)",NA,25,25,0.582125495707773,FALSE
3,"ICA (oracle)",NA,26,26,0.592816680425833,FALSE
3,"ICA (oracle)",NA,27,27,0.603264596037682,FALSE
3,"ICA (oracle)",NA,28,28,0.613442824023298,FALSE
3,"ICA (oracle)",NA,29,29,0.623408367370216,FALSE
3,"ICA (oracle)",NA,30,30,0.633128226377814,FALSE
3,"SoftImpute (oracle)",1,0,0,0.732933969667366,NA
3,"SoftImpute (oracle)",1,1,1,0.468525681338456,NA
3,"SoftImpute (oracle)",1,2,2,0.327034653380039,NA
3,"SoftImpute (oracle)",1,3,3,0.174880949678881,NA
3,"SoftImpute (oracle)",1,4,4,0.213940132648535,NA
3,"SoftImpute (oracle)",1,5,5,0.246476099558961,NA
3,"SoftImpute (oracle)",1,6,6,0.274883621572956,NA
