"simulation","method","n_components","selected_rank","effective_rank","rmse","elbo","lambda","raw_rmse","rmse_gain","relative_rmse_gain"
8,"SoftImpute (oracle)",3,3,3,0.175823420568418,NA,1,1.25097549100572,1.0751520704373,0.859450947014905
9,"No denoising (Z)",NA,NA,NA,1.25070944937453,NA,NA,1.25070944937453,0,0
9,"EBMF= GB+pt Laplace",6,6,6,0.130190074118291,-331416.475623115,NA,1.25070944937453,1.12051937525624,0.8959070196652
9,"cEBMF= cGB + pt Normal",10,10,10,0.0799226263480066,NA,NA,1.25070944937453,1.17078682302652,0.936098167013949
9,"PCA (oracle)",3,3,3,0.176149004165686,NA,NA,1.25070944937453,1.07456044520884,0.859160731332303
9,"ICA (oracle)",3,3,3,0.176149004165686,NA,NA,1.25070944937453,1.07456044520884,0.859160731332303
9,"SoftImpute (oracle)",3,3,3,0.17540583757414,NA,1,1.25070944937453,1.07530361180039,0.859754927363938
10,"No denoising (Z)",NA,NA,NA,1.25071657758804,NA,NA,1.25071657758804,0,0
10,"EBMF= GB+pt Laplace",6,6,6,0.176260625601321,-330466.523948952,NA,1.25071657758804,1.07445595198672,0.859072288030889
10,"cEBMF= cGB + pt Normal",10,10,10,0.0764194736740799,NA,NA,1.25071657758804,1.17429710391396,0.938899447689858
10,"PCA (oracle)",3,3,3,0.175953704245393,NA,NA,1.25071657758804,1.07476287334265,0.859317684439178
10,"ICA (oracle)",3,3,3,0.175953704245393,NA,NA,1.25071657758804,1.07476287334265,0.859317684439178
10,"SoftImpute (oracle)",3,3,3,0.175084699361101,NA,1,1.25071657758804,1.07563187822694,0.860012490040913
11,"No denoising (Z)",NA,NA,NA,1.2452134826915,NA,NA,1.2452134826915,0,0
11,"EBMF= GB+pt Laplace",7,7,7,0.106898542878169,-330537.196676529,NA,1.2452134826915,1.13831493981333,0.91415243702059
11,"cEBMF= cGB + pt Normal",10,10,10,0.0770499913315627,NA,NA,1.2452134826915,1.16816349135994,0.938123066925825
11,"PCA (oracle)",3,3,3,0.174904958282107,NA,NA,1.2452134826915,1.0703085244094,0.859538175009113
11,"ICA (oracle)",3,3,3,0.174904958282107,NA,NA,1.2452134826915,1.0703085244094,0.859538175009113
11,"SoftImpute (oracle)",3,3,3,0.173975793706885,NA,1,1.2452134826915,1.07123768898462,0.860284363986455
12,"No denoising (Z)",NA,NA,NA,1.2519137222807,NA,NA,1.2519137222807,0,0
12,"EBMF= GB+pt Laplace",6,6,6,0.212085679979757,-330619.544815875,NA,1.2519137222807,1.03982804230094,0.830590817717546
12,"cEBMF= cGB + pt Normal",10,10,10,0.0845483667511756,NA,NA,1.2519137222807,1.16736535552953,0.932464701643219
12,"PCA (oracle)",3,3,3,0.176288998940308,NA,NA,1.2519137222807,1.07562472334039,0.859184386429482
12,"ICA (oracle)",3,3,3,0.176288998940309,NA,NA,1.2519137222807,1.07562472334039,0.859184386429482
12,"SoftImpute (oracle)",3,3,3,0.175572654505475,NA,1,1.2519137222807,1.07634106777523,0.859756585952567
13,"No denoising (Z)",NA,NA,NA,1.25188686217699,NA,NA,1.25188686217699,0,0
13,"EBMF= GB+pt Laplace",6,6,6,0.169903578017472,-330787.896874781,NA,1.25188686217699,1.08198328415952,0.864282002510982
13,"cEBMF= cGB + pt Normal",10,10,10,0.0809395189130731,NA,NA,1.25188686217699,1.17094734326392,0.935345979450314
13,"PCA (oracle)",3,3,3,0.173307690693416,NA,NA,1.25188686217699,1.07857917148358,0.861562816952932
13,"ICA (oracle)",3,3,3,0.173307690693416,NA,NA,1.25188686217699,1.07857917148358,0.861562816952932
13,"SoftImpute (oracle)",3,3,3,0.172625027068145,NA,1,1.25188686217699,1.07926183510885,0.862108124716673
14,"No denoising (Z)",NA,NA,NA,1.24500525905179,NA,NA,1.24500525905179,0,0
14,"EBMF= GB+pt Laplace",7,7,7,0.118089299206331,-331257.103767373,NA,1.24500525905179,1.12691595984546,0.905149557925346
14,"cEBMF= cGB + pt Normal",10,10,10,0.0802794496498089,NA,NA,1.24500525905179,1.16472580940198,0.935518786715045
14,"PCA (oracle)",3,3,3,0.175293334707683,NA,NA,1.24500525905179,1.0697119243441,0.859202735544114
14,"ICA (oracle)",3,3,3,0.175293334707683,NA,NA,1.24500525905179,1.0697119243441,0.859202735544114
14,"SoftImpute (oracle)",3,3,3,0.174540607370645,NA,1,1.24500525905179,1.07046465168114,0.859807333260924
15,"No denoising (Z)",NA,NA,NA,1.24847664226993,NA,NA,1.24847664226993,0,0
15,"EBMF= GB+pt Laplace",6,6,6,0.111233796880027,-331505.888280213,NA,1.24847664226993,1.13724284538991,0.910904382898357
15,"cEBMF= cGB + pt Normal",10,10,10,0.081897794363233,NA,NA,1.24847664226993,1.1665788479067,0.934401820914864
15,"PCA (oracle)",3,3,3,0.175517100373403,NA,NA,1.24847664226993,1.07295954189653,0.85941499069275
15,"ICA (oracle)",3,3,3,0.175517100373403,NA,NA,1.24847664226993,1.07295954189653,0.85941499069275
15,"SoftImpute (oracle)",3,3,3,0.174719847707682,NA,1,1.24847664226993,1.07375679456225,0.860053571054391
16,"No denoising (Z)",NA,NA,NA,1.25100955937666,NA,NA,1.25100955937666,0,0
16,"EBMF= GB+pt Laplace",7,7,7,0.115007459352084,-331621.80820766,NA,1.25100955937666,1.13600210002458,0.908068280941523
16,"cEBMF= cGB + pt Normal",10,10,10,0.0778191086454857,NA,NA,1.25100955937666,1.17319045073117,0.937794952834525
16,"PCA (oracle)",3,3,3,0.173450213677051,NA,NA,1.25100955937666,1.07755934569961,0.861351807924253
16,"ICA (oracle)",3,3,3,0.173450213677051,NA,NA,1.25100955937666,1.07755934569961,0.861351807924253
