"simulation","method","lambda","rank","effective_rank","rmse","converged"
1,"SoftImpute (oracle)",1,28,28,0.604407786304972,NA
1,"SoftImpute (oracle)",1,29,29,0.614125161267219,NA
1,"SoftImpute (oracle)",1,30,30,0.623642516433995,NA
2,"PCA (oracle)",NA,0,0,0.732933969667366,NA
2,"PCA (oracle)",NA,1,1,0.468589795041747,NA
2,"PCA (oracle)",NA,2,2,0.327291875996829,NA
2,"PCA (oracle)",NA,3,3,0.175786365162496,NA
2,"PCA (oracle)",NA,4,4,0.215972236026674,NA
2,"PCA (oracle)",NA,5,5,0.249352066194744,NA
2,"PCA (oracle)",NA,6,6,0.278453305243874,NA
2,"PCA (oracle)",NA,7,7,0.304365798183579,NA
2,"PCA (oracle)",NA,8,8,0.327867621879625,NA
2,"PCA (oracle)",NA,9,9,0.349438372586512,NA
2,"PCA (oracle)",NA,10,10,0.369555519852536,NA
2,"PCA (oracle)",NA,11,11,0.388622651900494,NA
2,"PCA (oracle)",NA,12,12,0.406612403264118,NA
2,"PCA (oracle)",NA,13,13,0.423484078210777,NA
2,"PCA (oracle)",NA,14,14,0.43973462088228,NA
2,"PCA (oracle)",NA,15,15,0.45501626488803,NA
2,"PCA (oracle)",NA,16,16,0.469657472354155,NA
2,"PCA (oracle)",NA,17,17,0.483788077746276,NA
2,"PCA (oracle)",NA,18,18,0.497500800645338,NA
2,"PCA (oracle)",NA,19,19,0.510698970325909,NA
2,"PCA (oracle)",NA,20,20,0.523531329006554,NA
2,"PCA (oracle)",NA,21,21,0.535977563046476,NA
2,"PCA (oracle)",NA,22,22,0.548061754033617,NA
2,"PCA (oracle)",NA,23,23,0.559764648283577,NA
2,"PCA (oracle)",NA,24,24,0.571157274992448,NA
2,"PCA (oracle)",NA,25,25,0.582125495707774,NA
2,"PCA (oracle)",NA,26,26,0.592816680425834,NA
2,"PCA (oracle)",NA,27,27,0.603264596037682,NA
2,"PCA (oracle)",NA,28,28,0.613442824023298,NA
2,"PCA (oracle)",NA,29,29,0.623408367370216,NA
2,"PCA (oracle)",NA,30,30,0.633128226377814,NA
2,"ICA (oracle)",NA,0,0,0.732933969667366,NA
2,"ICA (oracle)",NA,1,1,0.468589795041747,TRUE
2,"ICA (oracle)",NA,2,2,0.327291875996829,TRUE
2,"ICA (oracle)",NA,3,3,0.175786365162496,TRUE
2,"ICA (oracle)",NA,4,4,0.215972236026674,TRUE
2,"ICA (oracle)",NA,5,5,0.249352066194744,FALSE
2,"ICA (oracle)",NA,6,6,0.278453305243873,TRUE
2,"ICA (oracle)",NA,7,7,0.304365798183579,FALSE
2,"ICA (oracle)",NA,8,8,0.327867621879625,FALSE
2,"ICA (oracle)",NA,9,9,0.349438372586512,FALSE
2,"ICA (oracle)",NA,10,10,0.369555519852536,FALSE
2,"ICA (oracle)",NA,11,11,0.388622651900494,FALSE
2,"ICA (oracle)",NA,12,12,0.406612403264118,FALSE
2,"ICA (oracle)",NA,13,13,0.423484078210777,FALSE
2,"ICA (oracle)",NA,14,14,0.43973462088228,FALSE
2,"ICA (oracle)",NA,15,15,0.45501626488803,FALSE
2,"ICA (oracle)",NA,16,16,0.469657472354156,FALSE
2,"ICA (oracle)",NA,17,17,0.483788077746276,FALSE
2,"ICA (oracle)",NA,18,18,0.497500800645338,FALSE
2,"ICA (oracle)",NA,19,19,0.510698970325909,FALSE
2,"ICA (oracle)",NA,20,20,0.523531329006554,FALSE
2,"ICA (oracle)",NA,21,21,0.535977563046476,FALSE
2,"ICA (oracle)",NA,22,22,0.548061754033616,FALSE
2,"ICA (oracle)",NA,23,23,0.559764648283577,FALSE
2,"ICA (oracle)",NA,24,24,0.571157274992448,FALSE
2,"ICA (oracle)",NA,25,25,0.582125495707774,FALSE
2,"ICA (oracle)",NA,26,26,0.592816680425834,FALSE
2,"ICA (oracle)",NA,27,27,0.603264596037682,FALSE
2,"ICA (oracle)",NA,28,28,0.613442824023297,FALSE
2,"ICA (oracle)",NA,29,29,0.623408367370216,FALSE
2,"ICA (oracle)",NA,30,30,0.633128226377814,FALSE
2,"SoftImpute (oracle)",1,0,0,0.732933969667366,NA
2,"SoftImpute (oracle)",1,1,1,0.468525681338456,NA
2,"SoftImpute (oracle)",1,2,2,0.327034653380039,NA
2,"SoftImpute (oracle)",1,3,3,0.174880949678881,NA
2,"SoftImpute (oracle)",1,4,4,0.213940132648535,NA
2,"SoftImpute (oracle)",1,5,5,0.246476099558961,NA
2,"SoftImpute (oracle)",1,6,6,0.274883621572956,NA
2,"SoftImpute (oracle)",1,7,7,0.300197791831625,NA
2,"SoftImpute (oracle)",1,8,8,0.323167474951757,NA
2,"SoftImpute (oracle)",1,9,9,0.344255225576622,NA
2,"SoftImpute (oracle)",1,10,10,0.363927076031773,NA
2,"SoftImpute (oracle)",1,11,11,0.382578744716097,NA
2,"SoftImpute (oracle)",1,12,12,0.400178301910664,NA
2,"SoftImpute (oracle)",1,13,13,0.416681583861362,NA
2,"SoftImpute (oracle)",1,14,14,0.432581367816147,NA
2,"SoftImpute (oracle)",1,15,15,0.447528730882026,NA
2,"SoftImpute (oracle)",1,16,16,0.46184949105132,NA
2,"SoftImpute (oracle)",1,17,17,0.475671761173574,NA
2,"SoftImpute (oracle)",1,18,18,0.489086900579271,NA
2,"SoftImpute (oracle)",1,19,19,0.501997521762913,NA
2,"SoftImpute (oracle)",1,20,20,0.514551187720975,NA
2,"SoftImpute (oracle)",1,21,21,0.526726937038134,NA
2,"SoftImpute (oracle)",1,22,22,0.53854818732541,NA
2,"SoftImpute (oracle)",1,23,23,0.549995195070442,NA
2,"SoftImpute (oracle)",1,24,24,0.561138361009334,NA
2,"SoftImpute (oracle)",1,25,25,0.571863392562338,NA
2,"SoftImpute (oracle)",1,26,26,0.582316951961488,NA
2,"SoftImpute (oracle)",1,27,27,0.592532410381813,NA
2,"SoftImpute (oracle)",1,28,28,0.602483119845303,NA
2,"SoftImpute (oracle)",1,29,29,0.612225692194387,NA
2,"SoftImpute (oracle)",1,30,30,0.621726967896222,NA
3,"PCA (oracle)",NA,0,0,0.785874378347808,NA
3,"PCA (oracle)",NA,1,1,0.514718536548664,NA
3,"PCA (oracle)",NA,2,2,0.354674085507424,NA
3,"PCA (oracle)",NA,3,3,0.17711957181939,NA
3,"PCA (oracle)",NA,4,4,0.216947378506248,NA
3,"PCA (oracle)",NA,5,5,0.249795041024798,NA
3,"PCA (oracle)",NA,6,6,0.278581352156585,NA
3,"PCA (oracle)",NA,7,7,0.304072705722998,NA
3,"PCA (oracle)",NA,8,8,0.327461303923871,NA
3,"PCA (oracle)",NA,9,9,0.349224006649946,NA
3,"PCA (oracle)",NA,10,10,0.369343304778643,NA
3,"PCA (oracle)",NA,11,11,0.388372464785022,NA
3,"PCA (oracle)",NA,12,12,0.406425543694047,NA
3,"PCA (oracle)",NA,13,13,0.423473259982926,NA
3,"PCA (oracle)",NA,14,14,0.439696184332813,NA
3,"PCA (oracle)",NA,15,15,0.455186846636712,NA
3,"PCA (oracle)",NA,16,16,0.470125237310084,NA
3,"PCA (oracle)",NA,17,17,0.484432944858564,NA
3,"PCA (oracle)",NA,18,18,0.498306359585702,NA
3,"PCA (oracle)",NA,19,19,0.511605711594849,NA
3,"PCA (oracle)",NA,20,20,0.524384928261826,NA
3,"PCA (oracle)",NA,21,21,0.536826756294824,NA
3,"PCA (oracle)",NA,22,22,0.548922622335761,NA
3,"PCA (oracle)",NA,23,23,0.560584472517883,NA
3,"PCA (oracle)",NA,24,24,0.571935647866903,NA
3,"PCA (oracle)",NA,25,25,0.582991402552476,NA
3,"PCA (oracle)",NA,26,26,0.593785536544476,NA
3,"PCA (oracle)",NA,27,27,0.604275119048396,NA
3,"PCA (oracle)",NA,28,28,0.614518863764366,NA
3,"PCA (oracle)",NA,29,29,0.624451365133664,NA
3,"PCA (oracle)",NA,30,30,0.634194718019488,NA
3,"ICA (oracle)",NA,0,0,0.785874378347808,NA
3,"ICA (oracle)",NA,1,1,0.514718536548664,TRUE
3,"ICA (oracle)",NA,2,2,0.354674085507425,TRUE
3,"ICA (oracle)",NA,3,3,0.17711957181939,TRUE
3,"ICA (oracle)",NA,4,4,0.216947378506248,TRUE
3,"ICA (oracle)",NA,5,5,0.249795041024798,TRUE
3,"ICA (oracle)",NA,6,6,0.278581352156585,TRUE
3,"ICA (oracle)",NA,7,7,0.304072705722998,TRUE
3,"ICA (oracle)",NA,8,8,0.327461303923871,FALSE
3,"ICA (oracle)",NA,9,9,0.349224006649946,FALSE
3,"ICA (oracle)",NA,10,10,0.369343304778643,FALSE
3,"ICA (oracle)",NA,11,11,0.388372464785023,FALSE
3,"ICA (oracle)",NA,12,12,0.406425543694048,FALSE
3,"ICA (oracle)",NA,13,13,0.423473259982926,FALSE
3,"ICA (oracle)",NA,14,14,0.439696184332814,FALSE
3,"ICA (oracle)",NA,15,15,0.455186846636712,FALSE
3,"ICA (oracle)",NA,16,16,0.470125237310085,FALSE
3,"ICA (oracle)",NA,17,17,0.484432944858564,FALSE
3,"ICA (oracle)",NA,18,18,0.498306359585703,FALSE
3,"ICA (oracle)",NA,19,19,0.511605711594849,FALSE
3,"ICA (oracle)",NA,20,20,0.524384928261827,FALSE
3,"ICA (oracle)",NA,21,21,0.536826756294824,FALSE
3,"ICA (oracle)",NA,22,22,0.548922622335762,FALSE
3,"ICA (oracle)",NA,23,23,0.560584472517884,FALSE
3,"ICA (oracle)",NA,24,24,0.571935647866904,FALSE
3,"ICA (oracle)",NA,25,25,0.582991402552476,FALSE
3,"ICA (oracle)",NA,26,26,0.593785536544476,FALSE
3,"ICA (oracle)",NA,27,27,0.604275119048397,FALSE
3,"ICA (oracle)",NA,28,28,0.614518863764366,FALSE
3,"ICA (oracle)",NA,29,29,0.624451365133664,FALSE
3,"ICA (oracle)",NA,30,30,0.634194718019488,FALSE
3,"SoftImpute (oracle)",1,0,0,0.785874378347808,NA
3,"SoftImpute (oracle)",1,1,1,0.514660237745653,NA
3,"SoftImpute (oracle)",1,2,2,0.354438631345241,NA
3,"SoftImpute (oracle)",1,3,3,0.176314435621686,NA
3,"SoftImpute (oracle)",1,4,4,0.215003111154334,NA
3,"SoftImpute (oracle)",1,5,5,0.246999989744693,NA
3,"SoftImpute (oracle)",1,6,6,0.27508627512439,NA
3,"SoftImpute (oracle)",1,7,7,0.299975121607261,NA
3,"SoftImpute (oracle)",1,8,8,0.322826963819015,NA
3,"SoftImpute (oracle)",1,9,9,0.344101792462892,NA
3,"SoftImpute (oracle)",1,10,10,0.363772449260749,NA
3,"SoftImpute (oracle)",1,11,11,0.382383426554471,NA
3,"SoftImpute (oracle)",1,12,12,0.400043671603594,NA
3,"SoftImpute (oracle)",1,13,13,0.416720386405675,NA
3,"SoftImpute (oracle)",1,14,14,0.432590803792901,NA
3,"SoftImpute (oracle)",1,15,15,0.44774500802963,NA
3,"SoftImpute (oracle)",1,16,16,0.462360765176842,NA
3,"SoftImpute (oracle)",1,17,17,0.476358455172805,NA
3,"SoftImpute (oracle)",1,18,18,0.489932792289888,NA
3,"SoftImpute (oracle)",1,19,19,0.50294336427624,NA
3,"SoftImpute (oracle)",1,20,20,0.515443115914826,NA
3,"SoftImpute (oracle)",1,21,21,0.527613629975855,NA
3,"SoftImpute (oracle)",1,22,22,0.539445749211896,NA
3,"SoftImpute (oracle)",1,23,23,0.550851086450602,NA
3,"SoftImpute (oracle)",1,24,24,0.561952217767572,NA
3,"SoftImpute (oracle)",1,25,25,0.572763949555791,NA
3,"SoftImpute (oracle)",1,26,26,0.583319638220642,NA
3,"SoftImpute (oracle)",1,27,27,0.593576123754385,NA
3,"SoftImpute (oracle)",1,28,28,0.603591689750965,NA
3,"SoftImpute (oracle)",1,29,29,0.613300817920519,NA
3,"SoftImpute (oracle)",1,30,30,0.622825079258959,NA
4,"PCA (oracle)",NA,0,0,0.7876708618578,NA
4,"PCA (oracle)",NA,1,1,0.466450519661417,NA
4,"PCA (oracle)",NA,2,2,0.331386371246747,NA
4,"PCA (oracle)",NA,3,3,0.177453865832659,NA
4,"PCA (oracle)",NA,4,4,0.218214626124373,NA
4,"PCA (oracle)",NA,5,5,0.251362995807068,NA
4,"PCA (oracle)",NA,6,6,0.28043481492433,NA
4,"PCA (oracle)",NA,7,7,0.306481375574325,NA
4,"PCA (oracle)",NA,8,8,0.330273270875877,NA
4,"PCA (oracle)",NA,9,9,0.352152283073993,NA
4,"PCA (oracle)",NA,10,10,0.372320312701928,NA
4,"PCA (oracle)",NA,11,11,0.391267675688606,NA
4,"PCA (oracle)",NA,12,12,0.409218758969337,NA
4,"PCA (oracle)",NA,13,13,0.426293593311229,NA
4,"PCA (oracle)",NA,14,14,0.442466064142888,NA
4,"PCA (oracle)",NA,15,15,0.457987758031585,NA
4,"PCA (oracle)",NA,16,16,0.472917626105159,NA
4,"PCA (oracle)",NA,17,17,0.487253937536187,NA
4,"PCA (oracle)",NA,18,18,0.501080565036541,NA
4,"PCA (oracle)",NA,19,19,0.514426776807113,NA
4,"PCA (oracle)",NA,20,20,0.52734710773651,NA
4,"PCA (oracle)",NA,21,21,0.539885224997977,NA
4,"PCA (oracle)",NA,22,22,0.551989040557549,NA
4,"PCA (oracle)",NA,23,23,0.563777224418818,NA
4,"PCA (oracle)",NA,24,24,0.575197695608811,NA
4,"PCA (oracle)",NA,25,25,0.586350488604305,NA
4,"PCA (oracle)",NA,26,26,0.597197553542151,NA
4,"PCA (oracle)",NA,27,27,0.607710990818758,NA
4,"PCA (oracle)",NA,28,28,0.617906543076939,NA
4,"PCA (oracle)",NA,29,29,0.627872140701906,NA
4,"PCA (oracle)",NA,30,30,0.637631885787024,NA
4,"ICA (oracle)",NA,0,0,0.7876708618578,NA
4,"ICA (oracle)",NA,1,1,0.466450519661417,TRUE
4,"ICA (oracle)",NA,2,2,0.331386371246747,TRUE
4,"ICA (oracle)",NA,3,3,0.177453865832659,TRUE
4,"ICA (oracle)",NA,4,4,0.218214626124373,TRUE
4,"ICA (oracle)",NA,5,5,0.251362995807067,TRUE
4,"ICA (oracle)",NA,6,6,0.28043481492433,TRUE
4,"ICA (oracle)",NA,7,7,0.306481375574325,TRUE
4,"ICA (oracle)",NA,8,8,0.330273270875877,FALSE
4,"ICA (oracle)",NA,9,9,0.352152283073993,TRUE
4,"ICA (oracle)",NA,10,10,0.372320312701928,FALSE
4,"ICA (oracle)",NA,11,11,0.391267675688607,FALSE
4,"ICA (oracle)",NA,12,12,0.409218758969337,FALSE
4,"ICA (oracle)",NA,13,13,0.426293593311228,TRUE
4,"ICA (oracle)",NA,14,14,0.442466064142887,TRUE
4,"ICA (oracle)",NA,15,15,0.457987758031585,FALSE
4,"ICA (oracle)",NA,16,16,0.47291762610516,FALSE
4,"ICA (oracle)",NA,17,17,0.487253937536187,FALSE
4,"ICA (oracle)",NA,18,18,0.50108056503654,FALSE
4,"ICA (oracle)",NA,19,19,0.514426776807113,FALSE
4,"ICA (oracle)",NA,20,20,0.52734710773651,FALSE
4,"ICA (oracle)",NA,21,21,0.539885224997976,FALSE
4,"ICA (oracle)",NA,22,22,0.551989040557549,FALSE
4,"ICA (oracle)",NA,23,23,0.563777224418817,FALSE
4,"ICA (oracle)",NA,24,24,0.575197695608812,FALSE
4,"ICA (oracle)",NA,25,25,0.586350488604305,FALSE
4,"ICA (oracle)",NA,26,26,0.597197553542151,FALSE
4,"ICA (oracle)",NA,27,27,0.607710990818758,FALSE
4,"ICA (oracle)",NA,28,28,0.617906543076939,FALSE
4,"ICA (oracle)",NA,29,29,0.627872140701906,FALSE
4,"ICA (oracle)",NA,30,30,0.637631885787024,FALSE
4,"SoftImpute (oracle)",1,0,0,0.7876708618578,NA
4,"SoftImpute (oracle)",1,1,1,0.466396398586304,NA
4,"SoftImpute (oracle)",1,2,2,0.331133140081636,NA
4,"SoftImpute (oracle)",1,3,3,0.176612150741141,NA
4,"SoftImpute (oracle)",1,4,4,0.216232885603669,NA
4,"SoftImpute (oracle)",1,5,5,0.248534580323732,NA
4,"SoftImpute (oracle)",1,6,6,0.276909197167814,NA
4,"SoftImpute (oracle)",1,7,7,0.302353950062605,NA
4,"SoftImpute (oracle)",1,8,8,0.325610294200513,NA
