"simulation","method","n_components","selected_rank","effective_rank","rmse","elbo","lambda","raw_rmse","rmse_gain","relative_rmse_gain"
27,"EBMF= GB+pt Laplace",6,6,6,0.103777170725745,-331386.853563151,NA,1.24787705465753,1.14409988393179,0.916837023055749
27,"cEBMF= cGB + pt Normal",10,10,10,0.0807545811571357,NA,NA,1.24787705465753,1.1671224735004,0.935286428373909
27,"PCA (oracle)",3,3,3,0.172541517330406,NA,NA,1.24787705465753,1.07533553732713,0.86173195773861
27,"ICA (oracle)",3,3,3,0.172541517330406,NA,NA,1.24787705465753,1.07533553732713,0.86173195773861
27,"SoftImpute (oracle)",3,3,3,0.171824835791587,NA,1,1.24787705465753,1.07605221886595,0.862306278370714
28,"No denoising (Z)",NA,NA,NA,1.25075121066184,NA,NA,1.25075121066184,0,0
28,"EBMF= GB+pt Laplace",6,6,6,0.10663459800157,-331847.995863142,NA,1.25075121066184,1.14411661266027,0.914743558037299
28,"cEBMF= cGB + pt Normal",10,10,10,0.0828601900892921,NA,NA,1.25075121066184,1.16789102057255,0.933751661095378
28,"PCA (oracle)",3,3,3,0.173763816029036,NA,NA,1.25075121066184,1.07698739463281,0.861072438269248
28,"ICA (oracle)",3,3,3,0.173763816029036,NA,NA,1.25075121066184,1.07698739463281,0.861072438269248
28,"SoftImpute (oracle)",3,3,3,0.173073913938461,NA,1,1.25075121066184,1.07767729672338,0.861624028453366
29,"No denoising (Z)",NA,NA,NA,1.25139221824696,NA,NA,1.25139221824696,0,0
29,"EBMF= GB+pt Laplace",7,7,7,0.113836276166147,-332311.525694225,NA,1.25139221824696,1.13755594208081,0.909032296584346
29,"cEBMF= cGB + pt Normal",10,10,10,0.0761785424855048,NA,NA,1.25139221824696,1.17521367576146,0.939124967076892
29,"PCA (oracle)",3,3,3,0.1736432182361,NA,NA,1.25139221824696,1.07774900001086,0.861239972804568
29,"ICA (oracle)",3,3,3,0.1736432182361,NA,NA,1.25139221824696,1.07774900001086,0.861239972804568
29,"SoftImpute (oracle)",3,3,3,0.17280908100153,NA,1,1.25139221824696,1.07858313724543,0.861906540186407
30,"No denoising (Z)",NA,NA,NA,1.25218826348746,NA,NA,1.25218826348746,0,0
30,"EBMF= GB+pt Laplace",6,6,6,0.226168924573915,-330955.698528435,NA,1.25218826348746,1.02601933891354,0.819381053816928
30,"cEBMF= cGB + pt Normal",10,10,10,0.0778706227079681,NA,NA,1.25218826348746,1.17431764077949,0.937812368172904
30,"PCA (oracle)",3,3,3,0.179623570286684,NA,NA,1.25218826348746,1.07256469320077,0.856552264923474
30,"ICA (oracle)",3,3,3,0.179623570286684,NA,NA,1.25218826348746,1.07256469320077,0.856552264923474
30,"SoftImpute (oracle)",3,3,3,0.17877449543909,NA,1,1.25218826348746,1.07341376804837,0.857230337759925
31,"No denoising (Z)",NA,NA,NA,1.25281509887782,NA,NA,1.25281509887782,0,0
31,"EBMF= GB+pt Laplace",6,6,6,0.205296528048756,-331802.74566101,NA,1.25281509887782,1.04751857082906,0.836131821660957
31,"cEBMF= cGB + pt Normal",10,10,10,0.0768885318296028,NA,NA,1.25281509887782,1.17592656704822,0.938627390507606
31,"PCA (oracle)",3,3,3,0.174730786780381,NA,NA,1.25281509887782,1.07808431209744,0.860529469243393
31,"ICA (oracle)",3,3,3,0.17473078678038,NA,NA,1.25281509887782,1.07808431209744,0.860529469243393
31,"SoftImpute (oracle)",3,3,3,0.173894205654216,NA,1,1.25281509887782,1.0789208932236,0.861197230293618
32,"No denoising (Z)",NA,NA,NA,1.25130193871029,NA,NA,1.25130193871029,0,0
32,"EBMF= GB+pt Laplace",7,7,7,0.115267557394912,-332032.356472948,NA,1.25130193871029,1.13603438131538,0.907881899780546
32,"cEBMF= cGB + pt Normal",10,10,10,0.080017449294166,NA,NA,1.25130193871029,1.17128448941613,0.936052644994189
32,"PCA (oracle)",3,3,3,0.178340067251538,NA,NA,1.25130193871029,1.07296187145876,0.857476391800886
32,"ICA (oracle)",3,3,3,0.178340067251538,NA,NA,1.25130193871029,1.07296187145876,0.857476391800886
32,"SoftImpute (oracle)",3,3,3,0.17739387947437,NA,1,1.25130193871029,1.07390805923592,0.858232554440691
33,"No denoising (Z)",NA,NA,NA,1.25075563514236,NA,NA,1.25075563514236,0,0
33,"EBMF= GB+pt Laplace",6,6,6,0.111417556772389,-331662.190544813,NA,1.25075563514236,1.13933807836997,0.910919804283186
33,"cEBMF= cGB + pt Normal",10,10,10,0.0779298853487044,NA,NA,1.25075563514236,1.17282574979366,0.937693756350868
33,"PCA (oracle)",3,3,3,0.177088256053291,NA,NA,1.25075563514236,1.07366737908907,0.858414984448073
33,"ICA (oracle)",3,3,3,0.177088256053291,NA,NA,1.25075563514236,1.07366737908907,0.858414984448073
33,"SoftImpute (oracle)",3,3,3,0.176221205154617,NA,1,1.25075563514236,1.07453442998774,0.859108206108894
34,"No denoising (Z)",NA,NA,NA,1.24735978302717,NA,NA,1.24735978302717,0,0
34,"EBMF= GB+pt Laplace",6,6,6,0.14745753040485,-330240.574533253,NA,1.24735978302717,1.09990225262232,0.881784283563327
34,"cEBMF= cGB + pt Normal",10,10,10,0.0778046239953426,NA,NA,1.24735978302717,1.16955515903183,0.937624553032709
34,"PCA (oracle)",3,3,3,0.178241761086676,NA,NA,1.24735978302717,1.06911802194049,0.857104771604783
34,"ICA (oracle)",3,3,3,0.178241761086676,NA,NA,1.24735978302717,1.06911802194049,0.857104771604783
34,"SoftImpute (oracle)",3,3,3,0.177457887536385,NA,1,1.24735978302717,1.06990189549078,0.8577331977902
35,"No denoising (Z)",NA,NA,NA,1.24753066248218,NA,NA,1.24753066248218,0,0
35,"EBMF= GB+pt Laplace",6,6,6,0.140302580776769,-330103.559402075,NA,1.24753066248218,1.10722808170542,0.887535765655962
35,"cEBMF= cGB + pt Normal",10,10,10,0.0856367326090099,NA,NA,1.24753066248218,1.16189392987317,0.931355007789051
35,"PCA (oracle)",3,3,3,0.17895291991321,NA,NA,1.24753066248218,1.06857774256897,0.856554291373367
35,"ICA (oracle)",3,3,3,0.178952919913211,NA,NA,1.24753066248218,1.06857774256897,0.856554291373366
35,"SoftImpute (oracle)",3,3,3,0.178036519766456,NA,1,1.24753066248218,1.06949414271573,0.85728886261423
36,"No denoising (Z)",NA,NA,NA,1.24946926584453,NA,NA,1.24946926584453,0,0
36,"EBMF= GB+pt Laplace",6,6,6,0.151314514204803,-330577.993947403,NA,1.24946926584453,1.09815475163973,0.878896969824602
36,"cEBMF= cGB + pt Normal",10,10,10,0.0743844057059691,NA,NA,1.24946926584453,1.17508486013856,0.94046719856235
36,"PCA (oracle)",3,3,3,0.17424063016281,NA,NA,1.24946926584453,1.07522863568172,0.860548286439812
36,"ICA (oracle)",3,3,3,0.17424063016281,NA,NA,1.24946926584453,1.07522863568172,0.860548286439812
36,"SoftImpute (oracle)",3,3,3,0.173546721816887,NA,1,1.24946926584453,1.07592254402765,0.861103648916418
37,"No denoising (Z)",NA,NA,NA,1.25069289831915,NA,NA,1.25069289831915,0,0
37,"EBMF= GB+pt Laplace",6,6,6,0.114206114054842,-331426.00779777,NA,1.25069289831915,1.13648678426431,0.908685725961723
37,"cEBMF= cGB + pt Normal",10,10,10,0.0828143047374768,NA,NA,1.25069289831915,1.16787859358167,0.933785260275505
37,"PCA (oracle)",3,3,3,0.177233016103092,NA,NA,1.25069289831915,1.07345988221606,0.858292138428801
37,"ICA (oracle)",3,3,3,0.177233016103092,NA,NA,1.25069289831915,1.07345988221606,0.858292138428801
37,"SoftImpute (oracle)",3,3,3,0.176328025386187,NA,1,1.25069289831915,1.07436487293296,0.859015729902072
38,"No denoising (Z)",NA,NA,NA,1.25082246781434,NA,NA,1.25082246781434,0,0
38,"EBMF= GB+pt Laplace",7,7,7,0.121276811096137,-331532.794114786,NA,1.25082246781434,1.1295456567182,0.903042346762403
38,"cEBMF= cGB + pt Normal",10,10,10,0.0795910457023518,NA,NA,1.25082246781434,1.17123142211198,0.936369030977331
38,"PCA (oracle)",3,3,3,0.177931669788828,NA,NA,1.25082246781434,1.07289079802551,0.85774826214967
38,"ICA (oracle)",3,3,3,0.177931669788828,NA,NA,1.25082246781434,1.07289079802551,0.85774826214967
38,"SoftImpute (oracle)",3,3,3,0.177164154710773,NA,1,1.25082246781434,1.07365831310356,0.858361870473636
39,"No denoising (Z)",NA,NA,NA,1.24842708366216,NA,NA,1.24842708366216,0,0
39,"EBMF= GB+pt Laplace",7,7,7,0.105213723949005,-331306.399696741,NA,1.24842708366216,1.14321335971316,0.915722972269739
39,"cEBMF= cGB + pt Normal",10,10,10,0.074592484832434,NA,NA,1.24842708366216,1.17383459882973,0.940250827774721
